GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_386: Average age,v_CA21_452: Average household size,v_CA21_560: Median total income in 2020 among recipients ($),v_CA21_4311: Median value of dwellings ($) (60)
35061314,DA,35061314,0.1957,618,212,207,38.4,3,58400,645000
35061315,DA,35061315,0.7038,737,234,228,42.1,3.2,48800,800000
35061316,DA,35061316,0.0821,331,118,118,45.7,2.8,62000,800000
35061317,DA,35061317,0.1963,458,131,126,39.5,3.6,41200,900000
35061318,DA,35061318,0.045,188,58,57,43.0,3.3,,900000
35061319,DA,35061319,0.1536,744,477,461,50.5,1.6,22800,276000
35061320,DA,35061320,0.0541,739,283,264,34.0,2.8,35200,300000
35061321,DA,35061321,0.0203,323,172,149,35.1,2.2,31200,
35061322,DA,35061322,0.1556,1607,956,871,36.2,1.8,27600,500000
35061323,DA,35061323,0.4033,656,254,250,43.9,2.6,50400,700000
35061325,DA,35061325,4.1059,4316,1492,1441,34.9,2.9,65000,700000
35061326,DA,35061326,0.1345,430,157,155,43.6,2.8,61600,650000
35061327,DA,35061327,0.0913,372,121,121,40.7,3.1,70000,660000
35061328,DA,35061328,0.108,521,174,172,40.5,3,64000,750000
35061329,DA,35061329,0.1445,486,143,142,38.2,3.4,64000,800000
35061331,DA,35061331,0.1002,358,150,148,51.0,2.4,65500,650000
35061332,DA,35061332,0.1017,477,158,158,38.7,3,49200,552000
35061333,DA,35061333,1.6124,916,427,418,46.1,2.2,51600,532000
35061334,DA,35061334,0.1021,325,132,125,46.0,2.6,56000,600000
35061335,DA,35061335,0.1918,419,180,178,44.9,2.4,52400,400000
35061336,DA,35061336,0.0726,713,297,292,36.5,2.4,34800,348000
35061337,DA,35061337,0.0336,1060,497,475,40.8,2.2,33600,200000
35061338,DA,35061338,0.6954,672,339,329,39.9,2,37600,200000
35061339,DA,35061339,1.4709,490,295,249,35.4,2,62400,552000
35061340,DA,35061340,0.2311,1014,374,368,38.6,2.5,35200,600000
35061341,DA,35061341,2.9241,850,414,379,47.3,2,54800,750000
35061342,DA,35061342,0.1917,383,136,129,32.0,3,85000,900000
35061343,DA,35061343,0.0719,478,248,228,39.8,2.1,65000,755000
35061344,DA,35061344,0.0224,208,67,59,64.4,1.6,,
35061345,DA,35061345,0.0345,528,288,270,50.7,1.7,70000,695000
35061346,DA,35061346,0.0686,535,272,247,42.8,2.2,85000,800000
35061347,DA,35061347,0.0686,373,54,52,72.6,2.1,,
35061348,DA,35061348,0.0806,347,133,129,41.4,2.7,46000,650000
35061349,DA,35061349,0.0598,347,151,150,40.6,2.3,49200,348000
35061350,DA,35061350,0.1131,565,250,245,40.7,2.3,36000,348000
35061351,DA,35061351,0.1766,622,219,217,38.3,2.9,43600,400000
35061352,DA,35061352,0.1247,416,175,170,45.2,2.5,45200,600000
35061354,DA,35061354,0.0814,436,180,176,37.6,2.5,45200,348000
35061355,DA,35061355,0.0729,364,131,131,46.7,2.8,48000,600000
35061356,DA,35061356,0.1255,527,187,182,39.1,2.9,41200,500000
